Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L183,%Y_51,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/layernorm_before/Add_1_120,NA,NA,NA,NA,NA
L184,%462,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/attention/attention/query/MatMul,NA,NA,NA,NA,NA
L185,%463,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/attention/attention/key/MatMul,NA,NA,NA,NA,NA
L186,%464,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/attention/attention/value/MatMul,NA,NA,NA,NA,NA
L187,%465,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/attention/attention/query/Add_92,NA,NA,NA,NA,NA
L188,%466,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/attention/attention/key/Add_19,NA,NA,NA,NA,NA
L189,%467,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/attention/attention/value/Add_26,NA,NA,NA,NA,NA
L190,%476,MatMul,1,12,197,64,1,12,64,197,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.9/attention/attention/MatMul,NA,NA,NA,NA,NA
L191,%477,Softmax,1,12,197,197,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.9/attention/attention/Softmax,NA,NA,NA,NA,NA
L192,%478,MatMul,1,12,197,197,1,12,197,64,NA,NA,NA,NA,8,1,12,197,64,/vit/encoder/layer.9/attention/attention/MatMul_1,NA,NA,NA,NA,NA
L193,%481,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/attention/output/dense/MatMul,NA,NA,NA,NA,NA
L194,%482,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/Add-Initializer_vit.encoder.layer.9.attention.output.dense.bias-/vit/encoder/layer.9/attention/output/dense/Add_35,NA,NA,NA,NA,NA
L195,%483,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/Add-Initializer_vit.encoder.layer.9.attention.output.dense.bias-/vit/encoder/layer.9/attention/output/dense/Add_131,NA,NA,NA,NA,NA
L196,%Y_54,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/layernorm_after/Add_1_60,NA,NA,NA,NA,NA
L197,%484,MatMul,1,197,768,NA,768,3072,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.9/intermediate/dense/MatMul,NA,NA,NA,NA,NA
L198,%485,Add,1,197,3072,NA,3072,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.9/intermediate/dense/Add_36,NA,NA,NA,NA,NA
L199,%486,Gelu,1,197,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.9/intermediate/intermediate_act_fn/Mul_1_104,NA,NA,NA,NA,NA
L200,%487,MatMul,1,197,3072,NA,3072,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/output/dense/MatMul,NA,NA,NA,NA,NA
L201,%488,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/output/Add-Initializer_vit.encoder.layer.9.output.dense.bias-/vit/encoder/layer.9/output/dense/Add_62,NA,NA,NA,NA,NA
L202,%489,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.9/output/Add-Initializer_vit.encoder.layer.9.output.dense.bias-/vit/encoder/layer.9/output/dense/Add_111,NA,NA,NA,NA,NA
L203,%Y_57,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/layernorm_before/Add_1_65,NA,NA,NA,NA,NA
L204,%490,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/attention/attention/query/MatMul,NA,NA,NA,NA,NA
L205,%491,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/attention/attention/key/MatMul,NA,NA,NA,NA,NA
L206,%492,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/attention/attention/value/MatMul,NA,NA,NA,NA,NA
L207,%493,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/attention/attention/query/Add_94,NA,NA,NA,NA,NA
L208,%494,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/attention/attention/key/Add_27,NA,NA,NA,NA,NA
L209,%495,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/attention/attention/value/Add_20,NA,NA,NA,NA,NA
L210,%504,MatMul,1,12,197,64,1,12,64,197,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.10/attention/attention/MatMul,NA,NA,NA,NA,NA
L211,%505,Softmax,1,12,197,197,NA,NA,NA,NA,NA,NA,NA,NA,8,1,12,197,197,/vit/encoder/layer.10/attention/attention/Softmax,NA,NA,NA,NA,NA
L212,%506,MatMul,1,12,197,197,1,12,197,64,NA,NA,NA,NA,8,1,12,197,64,/vit/encoder/layer.10/attention/attention/MatMul_1,NA,NA,NA,NA,NA
L213,%509,MatMul,1,197,768,NA,768,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/attention/output/dense/MatMul,NA,NA,NA,NA,NA
L214,%510,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/Add-Initializer_vit.encoder.layer.10.attention.output.dense.bias-/vit/encoder/layer.10/attention/output/dense/Add_43,NA,NA,NA,NA,NA
L215,%511,Add,1,197,768,NA,768,NA,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/Add-Initializer_vit.encoder.layer.10.attention.output.dense.bias-/vit/encoder/layer.10/attention/output/dense/Add_74,NA,NA,NA,NA,NA
L216,%Y_60,LayerNormalization,1,197,768,NA,768,NA,NA,NA,768,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/layernorm_after/Add_1_32,NA,NA,NA,NA,NA
L217,%512,MatMul,1,197,768,NA,768,3072,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.10/intermediate/dense/MatMul,NA,NA,NA,NA,NA
L218,%513,Add,1,197,3072,NA,3072,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.10/intermediate/dense/Add_72,NA,NA,NA,NA,NA
L219,%514,Gelu,1,197,3072,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,197,3072,NA,/vit/encoder/layer.10/intermediate/intermediate_act_fn/Mul_1_116,NA,NA,NA,NA,NA
L220,%515,MatMul,1,197,3072,NA,3072,768,NA,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/output/dense/MatMul,NA,NA,NA,NA,NA
L221,%516,Add,1,197,768,NA,1,197,768,NA,NA,NA,NA,NA,8,1,197,768,NA,/vit/encoder/layer.10/output/Add-Initializer_vit.encoder.layer.10.output.dense.bias-/vit/encoder/layer.10/output/dense/Add_51,NA,NA,NA,NA,NA
