freq_core (GHz),freq_noc (GHz),Xbar_size,N_tile,N_pe,N_tile(real),N_tier(real),N_stack(real),W2d,W3d,Computing_latency (ns),Computing_energy (pJ),compute_area (um2),chip area (mm2),chip_Architecture,2d NoC latency (ns),3d NoC latency (ns),2.5d NoC latency (ns),network_latency (ns),2d NoC energy (pJ),3d NoC energy (pJ),2.5d NoC energy (pJ),network_energy (pJ),rcc (compute latency/communciation latency),Throughput(TFLOPS/s),2D_3D_NoC_power (W),2_5D_power (W),2d_3d_router_area (mm2),placement_method,percent_router,peak_temperature (C),thermal simulation time (s),networking simulation time (s),computing simulation time (s),total simulation time (s)
1,1,1024,100,40,100,2,1,32,242,12148852.46873797,35247425383.76255,10756970984.693474,5526.021816361883,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.9311904907226562e-05,1.101123332977295,0.01756453514099121,1.1187071800231934
1,1,1024,100,41,100,2,1,32,242,12148852.46873797,35247425383.76255,11025895259.31081,5662.304373858464,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.8835067749023438e-05,1.1565632820129395,0.017628192901611328,1.1742103099822998
1,1,1024,100,42,100,2,1,32,242,12148852.46873797,35247425383.76255,11294819533.928148,5798.564863208821,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.621246337890625e-05,1.1341979503631592,0.01700448989868164,1.1512186527252197
1,1,1024,100,43,100,2,1,32,242,12148852.46873797,35247425383.76255,11563743808.545485,5934.804068037153,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.5497207641601562e-05,1.1249394416809082,0.018900394439697266,1.143855333328247
1,1,1024,100,44,100,2,1,32,242,12148852.46873797,35247425383.76255,11832668083.162823,6071.022726660539,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.71661376953125e-05,1.1597867012023926,0.018371105194091797,1.1781749725341797
1,1,1024,100,45,100,2,1,32,242,12148852.46873797,35247425383.76255,12101592357.780159,6207.221535673627,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.7642974853515625e-05,1.1213295459747314,0.017427444458007812,1.1387746334075928
1,1,1024,100,46,100,2,1,32,242,12148852.46873797,35247425383.76255,12370516632.397495,6343.4011531767155,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.6450881958007812e-05,1.1435754299163818,0.017733097076416016,1.1613249778747559
1,1,1024,100,47,100,2,1,32,242,12148852.46873797,35247425383.76255,12639440907.014832,6479.562201689626,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,2.1219253540039062e-05,1.1124458312988281,0.027707815170288086,1.1401748657226562
1,1,1024,100,48,100,2,1,32,242,12148852.46873797,35247425383.76255,12908365181.63217,6615.705270787991,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.811981201171875e-05,1.1063523292541504,0.02043914794921875,1.1268095970153809
1,1,1024,100,49,100,2,1,32,242,12148852.46873797,35247425383.76255,13177289456.249506,6751.830919493583,M3D,4053106.0625,50549.10743801653,0,4103655.1699380167,145300687.36984816,732306.1423655502,0,146032993.5122137,2.9604954523801936,2.385659736330919,0.050336243317144196,0,2.2842353664000004,5,1,NaN,1.7881393432617188e-05,1.1429152488708496,0.01701641082763672,1.159949541091919
