+-------+--------------+--------------------+-------------------------+----------+--------------------+------------------------+-----------------------+-----------------------+
| Stack | NoP Position | 2.5d link position | nop_noc_router_location | chip_idx |   2.5d link Area   |   2.5d link Latency    |   2.5d link Energy    |    2.5d link Power    |
| S6_S  |    2,1,1     |         S          |       (0, -1, 0)        |   C13    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S6_E  |    2,1,1     |         E          |        (1, 0, 0)        |   C13    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S6_W  |    2,1,1     |         W          |       (-1, 0, 0)        |   C13    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S7_N  |    1,1,1     |         N          |        (0, 1, 0)        |   C15    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S7_S  |    1,1,1     |         S          |       (0, -1, 0)        |   C15    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S7_E  |    1,1,1     |         E          |        (1, 0, 0)        |   C15    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S7_W  |    1,1,1     |         W          |       (-1, 0, 0)        |   C15    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S8_N  |    0,1,1     |         N          |        (0, 1, 0)        |   C17    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S8_S  |    0,1,1     |         S          |       (0, -1, 0)        |   C17    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S8_E  |    0,1,1     |         E          |        (1, 0, 0)        |   C17    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S8_W  |    0,1,1     |         W          |       (-1, 0, 0)        |   C17    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S9_N  |    0,2,1     |         N          |        (0, 1, 0)        |   C19    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S9_S  |    0,2,1     |         S          |       (0, -1, 0)        |   C19    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S9_E  |    0,2,1     |         E          |        (1, 0, 0)        |   C19    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S9_W  |    0,2,1     |         W          |       (-1, 0, 0)        |   C19    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S10_N |    1,2,1     |         N          |        (0, 1, 0)        |   C21    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S10_S |    1,2,1     |         S          |       (0, -1, 0)        |   C21    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S10_E |    1,2,1     |         E          |        (1, 0, 0)        |   C21    | 0.2372645778187342 | 7.194170159110002e-05  | 1.709440274843136e-07 | 0.002376146570120344  |
| S10_W |    1,2,1     |         W          |       (-1, 0, 0)        |   C21    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S11_N |    2,2,0     |         N          |        (0, 1, 0)        |   C22    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S11_S |    2,2,0     |         S          |       (0, -1, 0)        |   C22    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S11_E |    2,2,0     |         E          |        (1, 0, 0)        |   C22    | 0.2372645778187342 | 0.00022137663142885003 | 5.260233234744576e-07 | 0.002376146570120344  |
| S11_W |    2,2,0     |         W          |       (-1, 0, 0)        |   C22    | 0.2372645778187342 | 0.00014388340318220003 | 3.418880549686272e-07 | 0.002376146570120344  |
| S12_N |    3,2,1     |         N          |        (0, 1, 0)        |   C25    | 0.2372645778187342 | 0.00022137663142885003 | 5.260233234744576e-07 | 0.002376146570120344  |
| S12_S |    3,2,1     |         S          |       (0, -1, 0)        |   C25    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
| S12_E |    3,2,1     |         E          |        (1, 0, 0)        |   C25    | 0.2372645778187342 |          0.0           |          0.0          |          0.0          |
