Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz),wrap_Auto,wrap_n_SA,wrap_SA_size_y,wrap_SA_size_x,wrap_Temporal,layer_macs,num_adders_tile,num_adder_stages
C1,T471,SA,16,16,2,8,1000000000.0,{'L180': 3072.0},{'L180': 2},{'L180': 128},{'L180': 512.0},{'L180': 1},{'L180': 402653184.0},256.0,1.0
C1,T474,SA,16,16,2,8,1000000000.0,{'L181': 3072.0},{'L181': 2},{'L181': 128},{'L181': 512.0},{'L181': 1},{'L181': 402653184.0},256.0,1.0
C1,T479,SA,16,16,2,8,1000000000.0,{'L183': 1024.0},{'L183': 2},{'L183': 128},{'L183': 1536.0},{'L183': 1},{'L183': 402653184.0},256.0,1.0
C1,T484,SA,16,16,2,8,1000000000.0,{'L185': 2048.0},{'L185': 2},{'L185': 128},{'L185': 512.0},{'L185': 1},{'L185': 268435456.0},256.0,1.0
C1,T487,SA,16,16,2,8,1000000000.0,{'L186': 1024.0},{'L186': 2},{'L186': 128},{'L186': 512.0},{'L186': 1},{'L186': 134217728.0},256.0,1.0
C1,T490,SA,16,16,2,8,1000000000.0,{'L187': 1024.0},{'L187': 2},{'L187': 128},{'L187': 512.0},{'L187': 1},{'L187': 134217728.0},256.0,1.0
C1,T497,SA,16,16,2,8,1000000000.0,{'L190': 1024.0},{'L190': 2},{'L190': 128},{'L190': 1024.0},{'L190': 1},{'L190': 268435456.0},256.0,1.0
C1,T500,SA,16,16,2,8,1000000000.0,{'L191': 1024.0},{'L191': 2},{'L191': 128},{'L191': 1024.0},{'L191': 1},{'L191': 268435456.0},256.0,1.0
C1,T505,SA,16,16,2,8,1000000000.0,{'L193': 3072.0},{'L193': 2},{'L193': 128},{'L193': 512.0},{'L193': 1},{'L193': 402653184.0},256.0,1.0
C1,T508,SA,16,16,2,8,1000000000.0,{'L194': 3072.0},{'L194': 2},{'L194': 128},{'L194': 512.0},{'L194': 1},{'L194': 402653184.0},256.0,1.0
