Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz),Next Layer Type,mem_place,Accesses_r,Accesses_w,ddr_reuse_mul_r,dim1,dim2,dim3,dim4,mem_req_layer,DDR_access_layer,ddr_reuse_mul_w,F_non_zeros_r,F_non_zeros_w,mem_req_tn,DDR_access_tn,NW_real,NB_real,F_actbitlines
C1,T64,Mem Tile,1,1024,320,4,1000000000.0,{'L24': 'MatMulInteger'},{'L24': 'O'},{'L24': 9831},{'L24': 9831},{'L24': 1},{'L24': 1},{'L24': 128},{'L24': 3072.0},{'L24': nan},{'L24': 3145728},{'L24': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T65,Mem Tile,1,1024,320,4,1000000000.0,{'L25': 'MatMulInteger'},{'L25': 'W'},{'L25': 78644},{'L25': 78644},{'L25': 1},{'L25': 1024.0},{'L25': 3072.0},{'L25': nan},{'L25': nan},{'L25': 25165824},{'L25': True},1.0,0.5,0.5,25165824.0,True,1024.0,320.0,1.0
C1,T67,Mem Tile,1,1024,320,4,1000000000.0,{'L25': 'MatMulInteger'},{'L25': 'O'},{'L25': 9831},{'L25': 9831},{'L25': 1},{'L25': 1},{'L25': 128},{'L25': 3072.0},{'L25': nan},{'L25': 3145728},{'L25': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T69,Mem Tile,1,1024,320,4,1000000000.0,{'L26': 'Sigmoid'},{'L26': 'O'},{'L26': 9831},{'L26': 9831},{'L26': 1},{'L26': 1},{'L26': 128},{'L26': 3072.0},{'L26': nan},{'L26': 3145728},{'L26': True},1.0,0.5,0.5,3145728.0,True,1024.0,320.0,1.0
C1,T70,Mem Tile,1,1024,320,4,1000000000.0,{'L27': 'MatMulInteger'},{'L27': 'W'},{'L27': 78644},{'L27': 78644},{'L27': 1},{'L27': 3072.0},{'L27': 1024.0},{'L27': nan},{'L27': nan},{'L27': 25165824},{'L27': True},1.0,0.5,0.5,25165824.0,True,1024.0,320.0,1.0
C1,T72,Mem Tile,1,1024,320,4,1000000000.0,{'L27': 'MatMulInteger'},{'L27': 'O'},{'L27': 3277},{'L27': 3277},{'L27': 1},{'L27': 1},{'L27': 128},{'L27': 1024.0},{'L27': nan},{'L27': 1048576},{'L27': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T74,Mem Tile,1,1024,320,4,1000000000.0,{'L28': 'SkipLayerNorm'},{'L28': 'O'},{'L28': 3277},{'L28': 3277},{'L28': 1},{'L28': 1},{'L28': 128},{'L28': 1024.0},{'L28': nan},{'L28': 1048576},{'L28': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T75,Mem Tile,1,1024,320,4,1000000000.0,{'L29': 'MatMulInteger'},{'L29': 'W'},{'L29': 52429},{'L29': 52429},{'L29': 1},{'L29': 1024.0},{'L29': 2048.0},{'L29': nan},{'L29': nan},{'L29': 16777216},{'L29': True},1.0,0.5,0.5,16777216.0,True,1024.0,320.0,1.0
C1,T77,Mem Tile,1,1024,320,4,1000000000.0,{'L29': 'MatMulInteger'},{'L29': 'O'},{'L29': 6554},{'L29': 6554},{'L29': 1},{'L29': 1},{'L29': 128},{'L29': 2048.0},{'L29': nan},{'L29': 2097152},{'L29': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T78,Mem Tile,1,1024,320,4,1000000000.0,{'L30': 'MatMulInteger'},{'L30': 'W'},{'L30': 26215},{'L30': 26215},{'L30': 1},{'L30': 1024.0},{'L30': 1024.0},{'L30': nan},{'L30': nan},{'L30': 8388608},{'L30': True},1.0,0.5,0.5,8388608.0,True,1024.0,320.0,1.0
C1,T80,Mem Tile,1,1024,320,4,1000000000.0,{'L30': 'MatMulInteger'},{'L30': 'O'},{'L30': 3277},{'L30': 3277},{'L30': 1},{'L30': 1},{'L30': 128},{'L30': 1024.0},{'L30': nan},{'L30': 1048576},{'L30': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T81,Mem Tile,1,1024,320,4,1000000000.0,{'L31': 'MatMulInteger'},{'L31': 'W'},{'L31': 26215},{'L31': 26215},{'L31': 1},{'L31': 1024.0},{'L31': 1024.0},{'L31': nan},{'L31': nan},{'L31': 8388608},{'L31': True},1.0,0.5,0.5,8388608.0,True,1024.0,320.0,1.0
C1,T83,Mem Tile,1,1024,320,4,1000000000.0,{'L31': 'MatMulInteger'},{'L31': 'O'},{'L31': 3277},{'L31': 3277},{'L31': 1},{'L31': 1},{'L31': 128},{'L31': 1024.0},{'L31': nan},{'L31': 1048576},{'L31': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
C1,T85,Mem Tile,1,1024,320,4,1000000000.0,{'L32': 'SimplifiedLayerNormalization'},{'L32': 'O'},{'L32': 6554},{'L32': 6554},{'L32': 1},{'L32': 1},{'L32': 2048},{'L32': 128.0},{'L32': nan},{'L32': 2097152},{'L32': True},1.0,0.5,0.5,2097152.0,True,1024.0,320.0,1.0
C1,T87,Mem Tile,1,1024,320,4,1000000000.0,{'L33': 'SimplifiedLayerNormalization'},{'L33': 'O'},{'L33': 3277},{'L33': 3277},{'L33': 1},{'L33': 1},{'L33': 1024},{'L33': 128.0},{'L33': nan},{'L33': 1048576},{'L33': True},1.0,0.5,0.5,1048576.0,True,1024.0,320.0,1.0
