Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T431,Mem Tile,52,1024,320,4,2000000000.0
C1,T433,Mem Tile,4,1024,320,4,2000000000.0
C1,T435,Mem Tile,4,1024,320,4,2000000000.0
C1,T436,Mem Tile,77,1024,320,4,2000000000.0
C1,T438,Mem Tile,10,1024,320,4,2000000000.0
C1,T439,Mem Tile,77,1024,320,4,2000000000.0
C1,T441,Mem Tile,10,1024,320,4,2000000000.0
C1,T443,Mem Tile,10,1024,320,4,2000000000.0
C1,T444,Mem Tile,77,1024,320,4,2000000000.0
C1,T446,Mem Tile,4,1024,320,4,2000000000.0
C1,T448,Mem Tile,4,1024,320,4,2000000000.0
C1,T449,Mem Tile,52,1024,320,4,2000000000.0
C1,T451,Mem Tile,7,1024,320,4,2000000000.0
C1,T452,Mem Tile,26,1024,320,4,2000000000.0
C1,T454,Mem Tile,4,1024,320,4,2000000000.0
C1,T455,Mem Tile,26,1024,320,4,2000000000.0
C1,T457,Mem Tile,4,1024,320,4,2000000000.0
C1,T459,Mem Tile,7,1024,320,4,2000000000.0
C1,T461,Mem Tile,4,1024,320,4,2000000000.0
C1,T462,Mem Tile,4,1024,320,4,2000000000.0
C1,T464,Mem Tile,7,1024,320,4,2000000000.0
C1,T465,Mem Tile,52,1024,320,4,2000000000.0
C1,T467,Mem Tile,4,1024,320,4,2000000000.0
C1,T469,Mem Tile,4,1024,320,4,2000000000.0
C1,T470,Mem Tile,77,1024,320,4,2000000000.0
C1,T472,Mem Tile,10,1024,320,4,2000000000.0
C1,T473,Mem Tile,77,1024,320,4,2000000000.0
C1,T475,Mem Tile,10,1024,320,4,2000000000.0
C1,T477,Mem Tile,10,1024,320,4,2000000000.0
C1,T478,Mem Tile,77,1024,320,4,2000000000.0
C1,T480,Mem Tile,4,1024,320,4,2000000000.0
C1,T482,Mem Tile,4,1024,320,4,2000000000.0
C1,T483,Mem Tile,52,1024,320,4,2000000000.0
C1,T485,Mem Tile,7,1024,320,4,2000000000.0
C1,T486,Mem Tile,26,1024,320,4,2000000000.0
C1,T488,Mem Tile,4,1024,320,4,2000000000.0
C1,T489,Mem Tile,26,1024,320,4,2000000000.0
C1,T491,Mem Tile,4,1024,320,4,2000000000.0
C1,T493,Mem Tile,7,1024,320,4,2000000000.0
C1,T495,Mem Tile,4,1024,320,4,2000000000.0
C1,T496,Mem Tile,4,1024,320,4,2000000000.0
C1,T498,Mem Tile,7,1024,320,4,2000000000.0
C1,T499,Mem Tile,52,1024,320,4,2000000000.0
C1,T501,Mem Tile,4,1024,320,4,2000000000.0
C1,T503,Mem Tile,4,1024,320,4,2000000000.0
C1,T504,Mem Tile,77,1024,320,4,2000000000.0
C1,T506,Mem Tile,10,1024,320,4,2000000000.0
C1,T507,Mem Tile,77,1024,320,4,2000000000.0
C1,T509,Mem Tile,10,1024,320,4,2000000000.0
C1,T511,Mem Tile,10,1024,320,4,2000000000.0
C1,T512,Mem Tile,77,1024,320,4,2000000000.0
C1,T514,Mem Tile,4,1024,320,4,2000000000.0
C1,T516,Mem Tile,4,1024,320,4,2000000000.0
C1,T517,Mem Tile,52,1024,320,4,2000000000.0
C1,T519,Mem Tile,7,1024,320,4,2000000000.0
C1,T520,Mem Tile,26,1024,320,4,2000000000.0
C1,T522,Mem Tile,4,1024,320,4,2000000000.0
C1,T523,Mem Tile,26,1024,320,4,2000000000.0
C1,T525,Mem Tile,4,1024,320,4,2000000000.0
C1,T527,Mem Tile,7,1024,320,4,2000000000.0
C1,T529,Mem Tile,4,1024,320,4,2000000000.0
C1,T530,Mem Tile,4,1024,320,4,2000000000.0
C1,T532,Mem Tile,7,1024,320,4,2000000000.0
C1,T533,Mem Tile,52,1024,320,4,2000000000.0
C1,T535,Mem Tile,4,1024,320,4,2000000000.0
C1,T537,Mem Tile,4,1024,320,4,2000000000.0
C1,T538,Mem Tile,77,1024,320,4,2000000000.0
C1,T540,Mem Tile,10,1024,320,4,2000000000.0
C1,T541,Mem Tile,77,1024,320,4,2000000000.0
C1,T543,Mem Tile,10,1024,320,4,2000000000.0
C1,T545,Mem Tile,10,1024,320,4,2000000000.0
C1,T546,Mem Tile,77,1024,320,4,2000000000.0
C1,T548,Mem Tile,4,1024,320,4,2000000000.0
C1,T550,Mem Tile,4,1024,320,4,2000000000.0
C1,T551,Mem Tile,52,1024,320,4,2000000000.0
C1,T553,Mem Tile,7,1024,320,4,2000000000.0
C1,T554,Mem Tile,26,1024,320,4,2000000000.0
C1,T556,Mem Tile,4,1024,320,4,2000000000.0
C1,T557,Mem Tile,26,1024,320,4,2000000000.0
C1,T559,Mem Tile,4,1024,320,4,2000000000.0
C1,T561,Mem Tile,7,1024,320,4,2000000000.0
C1,T563,Mem Tile,4,1024,320,4,2000000000.0
C1,T564,Mem Tile,4,1024,320,4,2000000000.0
C1,T566,Mem Tile,7,1024,320,4,2000000000.0
C1,T567,Mem Tile,52,1024,320,4,2000000000.0
C1,T569,Mem Tile,4,1024,320,4,2000000000.0
C1,T571,Mem Tile,4,1024,320,4,2000000000.0
C1,T572,Mem Tile,77,1024,320,4,2000000000.0
