Chiplet ID,Tile ID,HW Type,SA_size_x,SA_size_y,n_SA,prec,Clock Frequency (Hz)
C1,T837,SA,373,16,2,8,2000000000.0
C1,T840,SA,373,16,2,8,2000000000.0
C1,T845,SA,373,16,2,8,2000000000.0
C1,T848,SA,373,16,2,8,2000000000.0
C1,T853,SA,373,16,2,8,2000000000.0
C1,T858,SA,373,16,2,8,2000000000.0
C1,T861,SA,373,16,2,8,2000000000.0
C1,T864,SA,373,16,2,8,2000000000.0
C1,T871,SA,373,16,2,8,2000000000.0
C1,T874,SA,373,16,2,8,2000000000.0
C1,T879,SA,373,16,2,8,2000000000.0
C1,T882,SA,373,16,2,8,2000000000.0
C1,T887,SA,373,16,2,8,2000000000.0
C1,T892,SA,373,16,2,8,2000000000.0
C1,T895,SA,373,16,2,8,2000000000.0
C1,T898,SA,373,16,2,8,2000000000.0
C1,T905,SA,373,16,2,8,2000000000.0
C1,T908,SA,373,16,2,8,2000000000.0
C1,T913,SA,373,16,2,8,2000000000.0
C1,T916,SA,373,16,2,8,2000000000.0
C1,T921,SA,373,16,2,8,2000000000.0
C1,T926,SA,373,16,2,8,2000000000.0
C1,T929,SA,373,16,2,8,2000000000.0
C1,T932,SA,373,16,2,8,2000000000.0
C1,T939,SA,373,16,2,8,2000000000.0
C1,T942,SA,373,16,2,8,2000000000.0
C1,T947,SA,373,16,2,8,2000000000.0
C1,T950,SA,373,16,2,8,2000000000.0
C1,T955,SA,373,16,2,8,2000000000.0
C1,T960,SA,373,16,2,8,2000000000.0
