Chiplet ID,Tile ID,HW Type,Nbank,NW,NB,CM,Clock Frequency (Hz)
C1,T60,Mem Tile,12,1024,320,4,2000000000.0
C1,T61,Mem Tile,1,1024,320,4,2000000000.0
C1,T63,Mem Tile,3,1024,320,4,2000000000.0
C1,T65,Mem Tile,3,1024,320,4,2000000000.0
C1,T66,Mem Tile,3,1024,320,4,2000000000.0
C1,T68,Mem Tile,1,1024,320,4,2000000000.0
C1,T70,Mem Tile,1,1024,320,4,2000000000.0
C1,T71,Mem Tile,1,1024,320,4,2000000000.0
C1,T73,Mem Tile,4,1024,320,4,2000000000.0
C1,T75,Mem Tile,4,1024,320,4,2000000000.0
C1,T77,Mem Tile,4,1024,320,4,2000000000.0
C1,T78,Mem Tile,1,1024,320,4,2000000000.0
C1,T80,Mem Tile,4,1024,320,4,2000000000.0
C1,T82,Mem Tile,4,1024,320,4,2000000000.0
C1,T83,Mem Tile,4,1024,320,4,2000000000.0
C1,T85,Mem Tile,1,1024,320,4,2000000000.0
C1,T87,Mem Tile,1,1024,320,4,2000000000.0
C1,T89,Mem Tile,1,1024,320,4,2000000000.0
C1,T90,Mem Tile,1,1024,320,4,2000000000.0
C1,T92,Mem Tile,4,1024,320,4,2000000000.0
C1,T94,Mem Tile,4,1024,320,4,2000000000.0
C1,T96,Mem Tile,4,1024,320,4,2000000000.0
C1,T97,Mem Tile,1,1024,320,4,2000000000.0
C1,T99,Mem Tile,4,1024,320,4,2000000000.0
C1,T101,Mem Tile,4,1024,320,4,2000000000.0
C1,T102,Mem Tile,4,1024,320,4,2000000000.0
C1,T104,Mem Tile,1,1024,320,4,2000000000.0
C1,T106,Mem Tile,1,1024,320,4,2000000000.0
C1,T108,Mem Tile,1,1024,320,4,2000000000.0
C1,T109,Mem Tile,1,1024,320,4,2000000000.0
C1,T111,Mem Tile,4,1024,320,4,2000000000.0
C1,T113,Mem Tile,4,1024,320,4,2000000000.0
C1,T115,Mem Tile,4,1024,320,4,2000000000.0
C1,T116,Mem Tile,1,1024,320,4,2000000000.0
C1,T118,Mem Tile,1,1024,320,4,2000000000.0
C1,T120,Mem Tile,1,1024,320,4,2000000000.0
C1,T121,Mem Tile,1,1024,320,4,2000000000.0
C1,T123,Mem Tile,1,1024,320,4,2000000000.0
C1,T125,Mem Tile,1,1024,320,4,2000000000.0
C1,T126,Mem Tile,1,1024,320,4,2000000000.0
C1,T128,Mem Tile,2,1024,320,4,2000000000.0
C1,T130,Mem Tile,2,1024,320,4,2000000000.0
C1,T132,Mem Tile,2,1024,320,4,2000000000.0
C1,T133,Mem Tile,1,1024,320,4,2000000000.0
C1,T135,Mem Tile,2,1024,320,4,2000000000.0
C1,T137,Mem Tile,2,1024,320,4,2000000000.0
C1,T138,Mem Tile,2,1024,320,4,2000000000.0
C1,T140,Mem Tile,1,1024,320,4,2000000000.0
C1,T142,Mem Tile,1,1024,320,4,2000000000.0
C1,T144,Mem Tile,1,1024,320,4,2000000000.0
C1,T145,Mem Tile,1,1024,320,4,2000000000.0
C1,T147,Mem Tile,2,1024,320,4,2000000000.0
C1,T149,Mem Tile,2,1024,320,4,2000000000.0
C1,T151,Mem Tile,2,1024,320,4,2000000000.0
C1,T152,Mem Tile,1,1024,320,4,2000000000.0
C1,T154,Mem Tile,2,1024,320,4,2000000000.0
C1,T156,Mem Tile,2,1024,320,4,2000000000.0
C1,T157,Mem Tile,2,1024,320,4,2000000000.0
C1,T159,Mem Tile,1,1024,320,4,2000000000.0
C1,T161,Mem Tile,1,1024,320,4,2000000000.0
C1,T163,Mem Tile,1,1024,320,4,2000000000.0
C1,T164,Mem Tile,1,1024,320,4,2000000000.0
C1,T166,Mem Tile,2,1024,320,4,2000000000.0
C1,T168,Mem Tile,2,1024,320,4,2000000000.0
C1,T170,Mem Tile,2,1024,320,4,2000000000.0
C1,T171,Mem Tile,1,1024,320,4,2000000000.0
C1,T173,Mem Tile,2,1024,320,4,2000000000.0
C1,T175,Mem Tile,2,1024,320,4,2000000000.0
C1,T176,Mem Tile,2,1024,320,4,2000000000.0
C1,T178,Mem Tile,1,1024,320,4,2000000000.0
C1,T180,Mem Tile,1,1024,320,4,2000000000.0
C1,T182,Mem Tile,1,1024,320,4,2000000000.0
C1,T183,Mem Tile,1,1024,320,4,2000000000.0
C1,T185,Mem Tile,2,1024,320,4,2000000000.0
C1,T187,Mem Tile,2,1024,320,4,2000000000.0
C1,T189,Mem Tile,2,1024,320,4,2000000000.0
C1,T190,Mem Tile,1,1024,320,4,2000000000.0
C1,T192,Mem Tile,2,1024,320,4,2000000000.0
C1,T194,Mem Tile,2,1024,320,4,2000000000.0
C1,T195,Mem Tile,2,1024,320,4,2000000000.0
C1,T197,Mem Tile,1,1024,320,4,2000000000.0
C1,T199,Mem Tile,1,1024,320,4,2000000000.0
C1,T200,Mem Tile,1,1024,320,4,2000000000.0
C1,T202,Mem Tile,3,1024,320,4,2000000000.0
C1,T204,Mem Tile,3,1024,320,4,2000000000.0
C1,T206,Mem Tile,3,1024,320,4,2000000000.0
C1,T207,Mem Tile,1,1024,320,4,2000000000.0
C1,T209,Mem Tile,3,1024,320,4,2000000000.0
C1,T211,Mem Tile,3,1024,320,4,2000000000.0
C1,T212,Mem Tile,3,1024,320,4,2000000000.0
C1,T214,Mem Tile,1,1024,320,4,2000000000.0
C1,T216,Mem Tile,1,1024,320,4,2000000000.0
C1,T218,Mem Tile,1,1024,320,4,2000000000.0
C1,T219,Mem Tile,1,1024,320,4,2000000000.0
C1,T221,Mem Tile,3,1024,320,4,2000000000.0
C1,T223,Mem Tile,3,1024,320,4,2000000000.0
C1,T225,Mem Tile,3,1024,320,4,2000000000.0
C1,T226,Mem Tile,1,1024,320,4,2000000000.0
C1,T228,Mem Tile,3,1024,320,4,2000000000.0
C1,T230,Mem Tile,3,1024,320,4,2000000000.0
C1,T231,Mem Tile,3,1024,320,4,2000000000.0
C1,T233,Mem Tile,1,1024,320,4,2000000000.0
C1,T235,Mem Tile,1,1024,320,4,2000000000.0
C1,T237,Mem Tile,1,1024,320,4,2000000000.0
C1,T238,Mem Tile,1,1024,320,4,2000000000.0
C1,T240,Mem Tile,3,1024,320,4,2000000000.0
C1,T242,Mem Tile,3,1024,320,4,2000000000.0
C1,T244,Mem Tile,3,1024,320,4,2000000000.0
C1,T245,Mem Tile,1,1024,320,4,2000000000.0
C1,T247,Mem Tile,1,1024,320,4,2000000000.0
C1,T249,Mem Tile,1,1024,320,4,2000000000.0
C1,T250,Mem Tile,1,1024,320,4,2000000000.0
C1,T252,Mem Tile,1,1024,320,4,2000000000.0
C1,T254,Mem Tile,1,1024,320,4,2000000000.0
