freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tile(real),N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,chip_Architecture,2d NoC latency,3d NoC latency,2.5d NoC latency,network_latency,2d NoC energy,3d NoC energy,2.5d NoC energy,network_energy,peak_temperature,placement_method,percent_router
1.0,1.0,512,169,25,169,32,242,3,9363161.638461128,9263773717.97734,116852930195.96988,39466.11413040336,H2_5D,10762426.75,0,3650.3188968000004,10766077.0688968,1050394323.2120584,0.0,73901.5919336448,1050468224.803992,NA,1,1.0
1.0,1.0,512,169,25,169,32,242,3,9363161.638461128,9263773717.97734,116852930195.96988,39466.11413040336,H2_5D,10762426.75,0,3650.3188968000004,10766077.0688968,1050394323.2120584,0.0,73901.5919336448,1050468224.803992,NA,1,1.0
1.0,1.0,512,169,25,144,32,242,3,9363161.638461128,9263773717.97734,116852930195.96988,39466.11413040336,M3D,7668521.8125,971362.173553719,0,8639883.986053718,551002434.1505651,34369339.07778055,0.0,585371773.2283458,NA,5,1.0
1.0,1.0,512,169,25,169,32,242,3,9363161.638461128,9263773717.97734,116852930195.96988,39466.11413040336,H2_5D,10762426.75,0,3650.3188968000004,10766077.0688968,1050394323.2120584,0.0,73901.5919336448,1050468224.803992,NA,1,1.0
1.0,1.0,512,169,25,169,32,242,3,9363161.638461128,9263773717.97734,116852930195.96988,39466.11413040336,H2_5D,10762426.75,0,3650.3188968000004,10766077.0688968,1050394323.2120584,0.0,73901.5919336448,1050468224.803992,NA,1,1.0
1.0,1.0,512,196,25,196,32,242,2,9363161.638461128,9263773717.97734,90347827686.03589,45770.67469680061,H2_5D,10613721.125,0,12091.681345650002,10625812.80634565,795365344.8026618,0.0,244799.02328019842,795610143.8259419,NA,1,1.0
1.0,1.0,512,196,25,196,32,242,2,9363161.638461128,9263773717.97734,90347827686.03589,45770.67469680061,H2_5D,10613721.125,0,12091.681345650002,10625812.80634565,795365344.8026618,0.0,244799.02328019842,795610143.8259419,NA,1,1.0
1.0,1.0,512,196,25,144,32,242,3,9363161.638461128,9263773717.97734,135521741529.05383,45771.39903066543,M3D,8680811.5,1124905.7685950412,0,9805717.268595042,698905688.2709502,46110949.03774734,0.0,745016637.3086976,NA,5,1.0
1.0,1.0,512,196,25,196,32,242,2,9363161.638461128,9263773717.97734,90347827686.03589,45770.67469680061,H2_5D,10613721.125,0,12091.681345650002,10625812.80634565,795365344.8026618,0.0,244799.02328019842,795610143.8259419,NA,1,1.0
1.0,1.0,512,196,25,196,32,242,2,9363161.638461128,9263773717.97734,90347827686.03589,45770.67469680061,H2_5D,10613721.125,0,12091.681345650002,10625812.80634565,795365344.8026618,0.0,244799.02328019842,795610143.8259419,NA,1,1.0
