freq_core,freq_noc,Xbar_size,N_tile,N_pe,N_tier(chiplet),W2d,W3d,Computing_latency,Computing_energy,compute_area,chip_area,2d NoC latency,3d NoC latency,network_latency,network_energy,peak_temperature
0.75,0.75,128,441,4,2,32,242,192460394.319534,3290984297.794551,1350120200394.663,676977.8627219866,35006536.083333336,2350183.7134986226,37356719.79683196,4713004339.490231,NA
0.75,0.75,128,441,4,2,32,50,192460394.319534,3290984297.794551,1350120200394.663,676977.8627219866,35006536.083333336,11293711.573333332,46300247.656666666,4704847771.66124,NA
0.75,0.75,128,441,4,2,32,18,192460394.319534,3290984297.794551,1350120200394.663,676977.8627219866,35006536.083333336,31333838.814814817,66340374.89814815,4703547528.346984,NA
0.75,0.75,128,361,4,3,32,1458,192460394.319534,3290984297.794551,1657800654226.0999,554172.5886089433,18763691.916666668,757239.6835848194,19520931.600251485,3571241494.839622,NA
0.75,0.75,128,361,4,3,32,648,192460394.319534,3290984297.794551,1657800654226.0999,554172.5886089433,18763691.916666668,1685872.621399177,20449564.538065843,3484923072.266821,NA
0.75,0.75,128,361,4,3,32,338,192460394.319534,3290984297.794551,1657800654226.0999,554172.5886089433,18763691.916666668,3218941.1992110456,21982633.115877714,3454274299.733669,NA
0.75,0.75,128,361,4,3,32,242,192460394.319534,3290984297.794551,1657800654226.0999,554172.5886089433,18763691.916666668,4490190.6005509645,23253882.517217632,3445050990.2568583,NA
0.75,0.75,128,361,4,3,32,50,192460394.319534,3290984297.794551,1657800654226.0999,554172.5886089433,18763691.916666668,21677482.506666668,40441174.42333334,3426984479.2470975,NA
0.75,0.75,128,361,4,3,32,18,192460394.319534,3290984297.794551,1657800654226.0999,554172.5886089433,18763691.916666668,60189747.7037037,78953439.62037037,3424022667.3307896,NA
0.75,0.75,128,256,4,4,32,1458,192460394.319534,3290984297.794551,1567486491161.1506,392987.37502306956,18725277.0,769938.5752171925,19495215.57521719,3398788567.281699,NA
0.75,0.75,128,256,4,4,32,648,192460394.319534,3290984297.794551,1567486491161.1506,392987.37502306956,18725277.0,1698211.794238683,20423488.794238683,3305830154.1177773,NA
0.75,0.75,128,256,4,4,32,338,192460394.319534,3290984297.794551,1567486491161.1506,392987.37502306956,18725277.0,3230686.5167652857,21955963.516765285,3274554759.708202,NA
0.75,0.75,128,256,4,4,32,242,192460394.319534,3290984297.794551,1567486491161.1506,392987.37502306956,18725277.0,4501443.482093664,23226720.482093662,3265352329.8966,NA
0.75,0.75,128,256,4,4,32,50,192460394.319534,3290984297.794551,1567486491161.1506,392987.37502306956,18725277.0,21682077.653333332,40407354.653333336,3247632503.978404,NA
0.75,0.75,128,256,4,4,32,18,192460394.319534,3290984297.794551,1567486491161.1506,392987.37502306956,18725277.0,60179424.5925926,78904701.5925926,3244768000.3241725,NA
0.75,0.75,256,225,4,2,32,1458,105954937.1958528,1022553256.9838592,264254022929.84793,132733.06648020537,25379672.25,312287.3305898491,25691959.58058985,1750260537.4086864,NA
0.75,0.75,256,225,4,2,32,648,105954937.1958528,1022553256.9838592,264254022929.84793,132733.06648020537,25379672.25,696538.1604938272,26076210.410493825,1735840700.8465774,NA
0.75,0.75,256,225,4,2,32,338,105954937.1958528,1022553256.9838592,264254022929.84793,132733.06648020537,25379672.25,1330893.08086785,26710565.330867853,1730660095.899534,NA
0.75,0.75,256,225,4,2,32,242,105954937.1958528,1022553256.9838592,264254022929.84793,132733.06648020537,25379672.25,1856912.1542699726,27236584.404269975,1729093733.7486086,NA
0.75,0.75,256,225,4,2,32,50,105954937.1958528,1022553256.9838592,264254022929.84793,132733.06648020537,25379672.25,8968690.026666665,34348362.27666666,1726014855.827519,NA
