Layer_ID,Original_ID,Type,in1_dim1,in1_dim2,in1_dim3,in1_dim4,in2_dim1,in2_dim2,in2_dim3,in2_dim4,in3_dim1,in3_dim2,in3_dim3,in3_dim4,prec,out1_dim1,out1_dim2,out1_dim3,out1_dim4,NodeName,Dilations,Groups,KernelShape,Pads,Strides
L92,%970:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.6/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L93,%971,MatMulInteger,1,128,1152,NA,1152,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.6/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L94,%975,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.6/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L95,%979,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.6/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L96,%984,SimplifiedLayerNormalization,1,512,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,512,256,NA,/model/layers.6/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L97,%985,SimplifiedLayerNormalization,1,128,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.6/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L98,%989:3,GroupQueryAttention,1,128,1024,NA,1,128,256,NA,1,128,256,NA,8,1,128,1024,NA,/model/layers.6/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L99,%990,MatMulInteger,1,128,1024,NA,1024,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.6/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L100,%994,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.6/post_attention_layernorm/LayerNorm,NA,NA,NA,NA,NA
L101,%995:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.6/pre_feedforward_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L102,%996,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.6/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L103,%1000,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.6/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L104,%1004,FastGelu,1,128,6912,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.6/mlp/act_fn/FastGelu,NA,NA,NA,NA,NA
L105,%1006,MatMulInteger,1,128,6912,NA,6912,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.6/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
L106,%1010,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.6/post_feedforward_layernorm/LayerNorm,NA,NA,NA,NA,NA
L107,%1011:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.7/input_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L108,%1012,MatMulInteger,1,128,1152,NA,1152,1024,NA,NA,NA,NA,NA,NA,8,1,128,1024,NA,/model/layers.7/attn/q_proj/MatMul_quant,NA,NA,NA,NA,NA
L109,%1016,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.7/attn/k_proj/MatMul_quant,NA,NA,NA,NA,NA
L110,%1020,MatMulInteger,1,128,1152,NA,1152,256,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.7/attn/v_proj/MatMul_quant,NA,NA,NA,NA,NA
L111,%1025,SimplifiedLayerNormalization,1,512,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,512,256,NA,/model/layers.7/attn/q_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L112,%1026,SimplifiedLayerNormalization,1,128,256,NA,256,NA,NA,NA,NA,NA,NA,NA,8,1,128,256,NA,/model/layers.7/attn/k_norm/SimplifiedLayerNormalization,NA,NA,NA,NA,NA
L113,%1030:3,GroupQueryAttention,1,128,1024,NA,1,128,256,NA,1,128,256,NA,8,1,128,1024,NA,/model/layers.7/attn/GroupQueryAttention,NA,NA,NA,NA,NA
L114,%1031,MatMulInteger,1,128,1024,NA,1024,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.7/attn/o_proj/MatMul_quant,NA,NA,NA,NA,NA
L115,%1035,LayerNorm,1,128,1152,NA,1152,NA,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.7/post_attention_layernorm/LayerNorm,NA,NA,NA,NA,NA
L116,%1036:4,SkipLayerNorm,1,128,1152,NA,1,128,1152,NA,1152,NA,NA,NA,8,1,128,1152,NA,/model/layers.7/pre_feedforward_layernorm/SkipLayerNorm,NA,NA,NA,NA,NA
L117,%1037,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.7/mlp/gate_proj/MatMul_quant,NA,NA,NA,NA,NA
L118,%1041,MatMulInteger,1,128,1152,NA,1152,6912,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.7/mlp/up_proj/MatMul_quant,NA,NA,NA,NA,NA
L119,%1045,FastGelu,1,128,6912,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,128,6912,NA,/model/layers.7/mlp/act_fn/FastGelu,NA,NA,NA,NA,NA
L120,%1047,MatMulInteger,1,128,6912,NA,6912,1152,NA,NA,NA,NA,NA,NA,8,1,128,1152,NA,/model/layers.7/mlp/down_proj/MatMul_quant,NA,NA,NA,NA,NA
