Model,Type,Total sim time,Total Cost per Part,Total Chip Area
vgg16,Type: User-Defined Stack Count: 4 Chip Count: 1,0.37278246879577637,26.841096561860436,239.01665610023912
vgg16,Type: User-Defined Stack Count: 8 Chip Count: 1,0.4474670886993408,28.26888887432503,245.49383429253888
vgg16,Type: User-Defined Stack Count: 16 Chip Count: 1,0.4698796272277832,30.89025678460962,254.61044845377847
vgg16,Type: User-Defined Stack Count: 32 Chip Count: 1,0.4992530345916748,35.83884615940696,269.2252649725028
vgg16,Type: User-Defined Stack Count: 64 Chip Count: 1,0.4489095211029053,35.6616445794469,268.14684084706283
gemma1b,Type: User-Defined Stack Count: 1 Chip Count: 1,1.5031871795654297,831.2977584554635,1565.0319343135666
gemma1b,Type: User-Defined Stack Count: 2 Chip Count: 1,1.4654972553253174,458.2059616041762,1566.6031380994004
gemma1b,Type: User-Defined Stack Count: 4 Chip Count: 1,1.4882028102874756,223.23620069913687,1569.3721000477608
gemma1b,Type: User-Defined Stack Count: 8 Chip Count: 1,1.5375406742095947,199.4411926555811,1576.2875788050185
gemma1b,Type: User-Defined Stack Count: 16 Chip Count: 1,1.6226508617401123,189.98764880047744,1587.8714273633796
gemma1b,Type: User-Defined Stack Count: 32 Chip Count: 1,1.6715664863586426,191.60281110784615,1605.3714994047623
gemma1b,Type: User-Defined Stack Count: 64 Chip Count: 1,1.7505192756652832,196.76303862980012,1631.9316691061906
llama,Type: User-Defined Stack Count: 1 Chip Count: 1,1.175415277481079,2417.419642970907,1778.1374433739627
llama,Type: User-Defined Stack Count: 2 Chip Count: 1,1.184537649154663,529.5276115172468,1780.190416722421
llama,Type: User-Defined Stack Count: 4 Chip Count: 1,1.210334062576294,255.48733514982035,1782.4776091081615
llama,Type: User-Defined Stack Count: 8 Chip Count: 1,1.2903499603271484,226.53296838769236,1790.6427006111587
llama,Type: User-Defined Stack Count: 16 Chip Count: 1,1.5784499645233154,217.43537348302735,1800.2944907239212
llama,Type: User-Defined Stack Count: 32 Chip Count: 1,1.4354772567749023,213.39386365552727,1819.2288013834484
llama,Type: User-Defined Stack Count: 64 Chip Count: 1,1.5475351810455322,221.52785326146557,1852.8778583867565
qwen0.6b,Type: User-Defined Stack Count: 1 Chip Count: 1,1.47922945022583,319.0189271283187,984.842269733843
qwen0.6b,Type: User-Defined Stack Count: 2 Chip Count: 1,1.507312536239624,140.18590481051902,986.4134735196741
qwen0.6b,Type: User-Defined Stack Count: 4 Chip Count: 1,1.5184736251831055,119.22292794815218,988.7006659054174
qwen0.6b,Type: User-Defined Stack Count: 8 Chip Count: 1,1.5893101692199707,113.99186170608304,994.9386791579408
qwen0.6b,Type: User-Defined Stack Count: 16 Chip Count: 1,1.6314823627471924,113.59127543266236,1006.9993170837975
qwen0.6b,Type: User-Defined Stack Count: 32 Chip Count: 1,1.699655294418335,115.35164857295474,1025.3576099866839
